sample,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS
P01577,19663102925,19079585810,NA,9939747150,7912479361,870100524,357258775,0,41381385,1192249,NA,0.520962,0.414709,0.045604,0.018725,0.935672,0.907905,0.971996,0.794581,0.146939,0.815702,0.172944
P01578,12787601875,12442602512,NA,6355228579,4482821966,1230297754,374254213,0,16719133,329192,NA,0.510764,0.36028,0.098878,0.030078,0.871044,0.847544,0.980691,0.61458,0.215839,0.46904,0.410905
P01580,19276899275,18897695562,NA,12046144951,5615175817,910920929,325453865,0,47140385,1106460,NA,0.63744,0.297135,0.048203,0.017222,0.934575,0.916191,0.977067,0.645071,0.248464,0.336897,0.618565
P01581,9155432750,8944904158,NA,4671743613,3810868202,302744587,159547756,0,24622155,593020,NA,0.52228,0.426038,0.033845,0.017837,0.948318,0.926511,0.976482,0.80338,0.116783,0.680951,0.166831
P01582,9830500375,9671419360,NA,6196929155,3029128919,310226473,135134813,0,30486014,514323,NA,0.640747,0.313204,0.032077,0.013973,0.953951,0.938514,0.983409,0.631011,0.15069,0.443424,0.296605
P01584,10573599875,10409661135,NA,6208371535,3563688069,454911171,182690360,0,27602619,611108,NA,0.596405,0.342344,0.043701,0.01755,0.938749,0.924194,0.97834,0.651134,0.259591,0.397635,0.488496
P01585,7629734750,7506419381,NA,4074251419,3000975147,289172118,142020697,0,21668005,427320,NA,0.542769,0.399788,0.038523,0.01892,0.942557,0.927323,0.98066,0.724482,0.158312,0.525497,0.238423
P01588,10480190000,10211206278,NA,5064105165,4656204889,291548366,199347858,0,24994776,518061,NA,0.495936,0.45599,0.028552,0.019522,0.951926,0.927494,0.979694,0.868018,0.093813,0.787945,0.120247
P01590,12233780750,11782521629,NA,5636598910,5524860428,395556673,225505618,0,29433011,424957,NA,0.478386,0.468903,0.033571,0.019139,0.94729,0.912348,0.985767,0.919636,0.071118,0.837208,0.089599
P01591,10067321500,9824504285,NA,6262511606,2997349810,402117810,162525059,0,28309189,2100765,NA,0.637438,0.305089,0.04093,0.016543,0.942527,0.919794,0.930919,0.59478,0.287702,0.440543,0.512296
P01592,12957193750,12654358310,NA,5470164933,6612095855,355447208,216650314,0,25711799,437716,NA,0.432275,0.522515,0.028089,0.017121,0.95479,0.932475,0.983261,0.902936,0.078405,0.761889,0.090841
P01593,12771956375,12369595833,NA,5791454617,5969152393,364929591,244059232,0,33785068,617208,NA,0.468201,0.482566,0.029502,0.019731,0.950767,0.920815,0.982059,0.927099,0.074291,0.915273,0.079583
P01595,16485225625,15949065621,NA,9497954422,5195118322,945535868,310457009,0,46595979,936941,NA,0.595518,0.325732,0.059285,0.019466,0.92125,0.891287,0.980289,0.636568,0.146176,0.477835,0.302462
P01596,7163967750,6839351001,NA,3664562733,2782728668,244623318,147436282,0,15265062,3215333,NA,0.535806,0.40687,0.035767,0.021557,0.942676,0.899961,0.826014,0.89771,0.120589,0.702701,0.165463
P01597,8009055875,7880613261,NA,4471619660,2783184746,463253411,162555444,0,20458525,338199,NA,0.56742,0.353169,0.058784,0.020627,0.920589,0.905825,0.983738,0.671434,0.150147,0.418706,0.305284
P01600,7220636000,7120048430,NA,3935765665,2567917426,470496781,145868558,0,20722007,472511,NA,0.552772,0.36066,0.066081,0.020487,0.913432,0.900708,0.977706,0.689608,0.181769,0.461198,0.321068
P01602,8501307375,8341084049,NA,4702710829,2919655817,539107295,179610108,0,22942032,367451,NA,0.563801,0.350033,0.064633,0.021533,0.913834,0.896611,0.984236,0.661081,0.182737,0.429388,0.378812
P01603,11845473375,11321482863,NA,7293556592,3357925500,477991898,192008873,0,35560103,4054249,NA,0.644223,0.296598,0.04222,0.01696,0.94082,0.899203,0.897657,0.589018,0.332425,0.452279,0.552907
P01605,9484947750,9209544164,NA,5627315020,3007371584,417571661,157285899,0,30341572,522868,NA,0.611031,0.326549,0.045341,0.017079,0.93758,0.910357,0.983059,0.644019,0.178065,0.493289,0.317361
P01606,44266754250,43225713552,NA,19645857980,17255322277,4763210988,1561322307,0,60349066,690768,NA,0.454495,0.399191,0.110194,0.03612,0.853686,0.833609,0.988683,0.628145,0.213274,0.453427,0.367483
P01608,10923494750,10563218038,NA,6873095617,3010027468,317511343,362583610,0,26181443,4412701,NA,0.650663,0.284954,0.030058,0.034325,0.935617,0.904758,0.855766,0.61742,0.277273,0.367869,0.524022
P01609,10956448250,10801514751,NA,6341022512,3738788701,511082745,210620793,0,25797054,1841972,NA,0.587049,0.346136,0.047316,0.019499,0.933185,0.919989,0.933356,0.567314,0.353182,0.408512,0.579283
P01610,8572408250,8372007510,NA,5249065566,2629103091,352070049,141768804,0,20690440,1433697,NA,0.626978,0.314035,0.042053,0.016934,0.941013,0.919015,0.935198,0.540275,0.352822,0.449575,0.554466
P01611,11744511625,11352424046,NA,5057844841,5722683748,344340790,227554667,0,25952522,493464,NA,0.44553,0.504094,0.030332,0.020045,0.949623,0.917921,0.981341,0.955659,0.064593,0.916816,0.073982
P01615,7940233625,7767871495,NA,4846408007,2446857995,342743201,131862292,0,21063202,1109036,NA,0.623904,0.314997,0.044123,0.016975,0.938901,0.91852,0.949981,0.573217,0.319327,0.428273,0.55761
P01616,10191746875,9871998056,NA,5949139677,3196747027,535056139,191055213,0,34579589,664761,NA,0.602628,0.32382,0.054199,0.019353,0.926447,0.897382,0.981139,0.674226,0.099576,0.493367,0.222496
P01617,8879534250,8706127984,NA,4816856937,3215628690,495893743,177748614,0,22604026,379282,NA,0.553272,0.369352,0.056959,0.020416,0.922624,0.904607,0.983498,0.672213,0.157364,0.506608,0.276113
P01618,11898122250,11630847558,NA,5160212182,5820591736,405216886,244826754,0,20100529,512451,NA,0.443666,0.500444,0.03484,0.02105,0.94411,0.922902,0.975139,0.917843,0.085135,0.75525,0.117063
P01621,19770570025,19231364162,NA,9678810402,8664661887,543963808,343928065,0,39356291,848538,NA,0.503283,0.450548,0.028285,0.017884,0.953831,0.927817,0.978895,0.867296,0.112738,0.682503,0.151105
P01622,11564032750,11298372000,NA,7211010544,3617106178,291702206,178553072,0,33093504,1579464,NA,0.638234,0.320144,0.025818,0.015803,0.958378,0.936362,0.954447,0.547464,0.371267,0.439068,0.638843
P01623,8463024875,8192079281,NA,5096751895,2518145333,429307461,147874592,0,27053907,594508,NA,0.622156,0.307388,0.052405,0.018051,0.929544,0.899784,0.978498,0.622221,0.167478,0.529839,0.314336
P01626,9363093500,9096680481,NA,4899338549,3444117990,547129802,206094140,0,24080072,432421,NA,0.538585,0.378613,0.060146,0.022656,0.917198,0.8911,0.982359,0.613953,0.203665,0.543339,0.364992
P01627,9726563500,9542023303,NA,5179376999,3737590407,446385029,178670868,0,24722156,461774,NA,0.542797,0.391698,0.046781,0.018725,0.934494,0.916764,0.981664,0.687302,0.154912,0.512326,0.254746
P01628,12810568000,12374970719,NA,5683432501,5778483055,471308634,441746529,0,26861781,598115,NA,0.459268,0.466949,0.038086,0.035697,0.926218,0.894723,0.978219,0.941225,0.098057,0.796008,0.124849
P01629,13436539250,12970640353,NA,7374886099,4843994777,471789738,279969739,0,30001773,5403495,NA,0.568583,0.373458,0.036374,0.021585,0.942041,0.909377,0.847382,0.761678,0.177213,0.516817,0.276886
P01630,10575867500,9871768176,NA,3734896777,5391119934,473659740,272091725,0,21841515,362874,NA,0.378341,0.546115,0.047981,0.027563,0.924456,0.86291,0.983658,1.098082,0.038769,1.375575,0.035781
P01631,10688316000,10279056439,NA,4594372783,5073653464,392733622,218296570,0,25385272,495952,NA,0.446964,0.493591,0.038207,0.021237,0.940556,0.904542,0.980837,0.925196,0.078156,0.91746,0.089348
P01634,12297500250,11972257876,NA,7894546312,3590432704,333566348,153712512,0,41969446,787870,NA,0.659403,0.299896,0.027862,0.012839,0.959299,0.933928,0.981573,0.646248,0.172142,0.451745,0.318988
P01635,13243746250,12823797076,NA,7565822938,4122280337,871924769,263769032,0,40030615,913032,NA,0.589983,0.321456,0.067993,0.020569,0.911439,0.882538,0.9777,0.646001,0.125902,0.530318,0.242563
P01639,13080260250,12647153766,NA,6744741038,5150424818,518413052,233574858,0,35129396,859057,NA,0.533301,0.40724,0.04099,0.018469,0.940541,0.909398,0.97613,0.707552,0.136849,0.558903,0.204075
P01640,12664484375,12198200952,NA,5335865900,6132779510,462954452,266601090,0,25894943,549558,NA,0.437431,0.502761,0.037953,0.021856,0.940192,0.905575,0.979218,0.975556,0.070389,0.96299,0.079937
